,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
RBMX2P1,0,0,0,2,0,0
RPL23P11,0,0,0,0,0,0
AL450332.1,0,0,0,0,0,0
AC104058.1,0,0,0,0,0,0
AC079355.1,0,0,0,0,0,0
LINC02628,0,0,0,0,0,0
OR8T1P,1,0,2,23,8,0
MTCYBP38,0,0,0,0,0,0
TPI1P1,85,111,101,105,123,88
MRPL23-AS1,0,0,5,20,33,0
SLC16A1-AS1,42,14,39,250,236,65
IGLV3-4,0,0,0,0,0,0
SLC25A5P5,0,1,4,0,0,0
AC093642.1,0,0,0,0,0,0
AL358613.1,0,0,0,0,0,0
AC012558.1,0,0,0,0,0,0
HMGN2P7,1,3,1,1,0,0
RPL15P13,0,0,0,0,0,0
AL590399.2,0,0,0,1,4,0
USP17L7,0,0,0,3,0,0
AL121929.2,0,0,0,0,0,0
AC010342.1,4,10,9,6,6,8
AP000290.1,0,0,0,0,0,0
ANKRD18DP,0,0,0,0,0,0
H3P43,0,0,0,0,0,0
AL442071.1,0,0,0,0,1,1
AC108161.1,0,0,0,0,0,0
LAMA4-AS1,4,0,3,1,2,3
PLCL2-AS1,0,0,0,0,0,0
AC006037.1,0,0,0,0,0,0
GAPDHP32,0,0,0,0,0,0
ACTR3BP6,1,0,0,0,0,0
BX322234.1,16,5,10,70,22,6
NOTCH2P1,0,0,0,0,0,0
ZNF25-DT,0,0,0,0,0,0
RPL7AP51,0,0,0,0,0,0
CDY5P,0,0,0,0,0,0
CYP2D8P,0,4,32,4,8,1
LINC02542,11,19,7,5,6,2
AL033380.1,0,0,0,0,0,0
AL121787.1,1,0,0,2,0,0
RPL22P3,1,13,26,23,31,4
OR10G5P,0,0,0,0,0,0
AL390198.1,19,14,5,39,12,15
RPA2P2,0,1,0,0,0,0
AC018641.1,0,0,0,0,0,0
ADAM1B,0,0,0,16,14,0
RPS29P33,0,0,0,0,0,0
Z93930.2,24,27,65,70,80,20
AC008013.2,0,1,4,2,1,0
PPIAP62,0,0,0,0,0,0
AP000532.1,0,0,0,0,0,0
LINC01748,11,13,3,0,0,5
AC245028.1,0,0,0,0,0,0
UPF3AP1,2,0,0,0,2,0
TMEM185B,1644,1575,1018,947,1252,1780
OR7H1P,0,0,0,0,0,0
ACTR3BP2,0,0,0,0,0,0
ADIPOQ-AS1,0,0,0,0,0,0
AL392088.1,0,0,0,0,0,0
AL606516.1,0,0,0,0,0,0
RBM22P3,0,0,0,0,0,0
LINC01035,0,0,0,0,0,0
AL139254.1,0,1,0,0,0,0
LINC01824,0,0,0,0,0,0
AC104308.1,0,0,0,0,0,0
AC138647.1,0,0,0,0,0,0
FTOP1,0,0,9,1,4,0
RPL26P27,0,0,5,2,2,0
LINC00323,10,8,4,5,8,3
LINC02549,0,0,0,0,0,0
RPSAP21,0,3,6,11,15,0
AL136380.1,0,0,0,0,3,0
AC243772.1,0,0,0,0,0,0
USF1P1,0,0,1,0,4,0
KRT8P27,0,0,0,0,0,0
TMEM167AP1,0,0,0,0,0,0
AC007463.1,0,0,0,0,0,0
IPMKP1,0,0,0,0,0,0
LINC01918,0,1,0,0,0,0
AC005588.1,0,0,0,0,0,0
UPK1A-AS1,0,0,0,2,1,0
AC004386.2,0,0,0,0,0,0
FAM138B,0,0,0,6,11,0
LINC00390,0,0,0,1,2,6
KIRREL1-IT1,1,0,0,5,3,2
AC087499.2,0,0,0,0,0,0
HDAC9-AS1,0,0,0,0,0,0
AC074375.1,0,0,0,0,0,0
RPS7P10,7,5,3,5,1,6
AL049569.1,4,4,5,1,2,0
AP000289.1,0,0,0,0,0,0
MTND1P1,0,0,0,0,0,0
AL158055.1,5,5,0,1,15,0
AL022718.1,0,0,0,0,0,0
BTBD9-AS1,0,0,1,2,0,0
AP000552.1,0,0,0,0,0,0
AL445487.1,3,1,1,0,0,4
SETP15,0,0,0,0,0,0
OR7E33P,0,0,0,0,0,0
AC012512.1,8,5,4,0,1,6
GAPDHP73,0,2,2,1,2,1
AL359633.1,0,0,0,0,0,0
AC114814.1,0,0,0,0,0,0
MYL6P1,1,0,1,0,0,2
RPL7P22,7,4,0,1,0,2
AL357552.2,0,0,1,3,1,0
SSU72P1,0,0,0,0,0,0
AC016722.1,0,0,0,0,0,0
SCDP1,10,3,2,6,17,5
BX284613.1,0,0,0,0,0,0
AC018735.1,0,0,0,0,0,2
MTCL1P1,0,0,0,0,0,0
AGKP1,0,0,0,0,0,0
NPM1P49,0,0,0,1,0,0
TRAF6P1,0,0,0,0,1,0
AL590383.1,0,0,0,0,0,0
CYP4F26P,14,6,11,12,11,31
FTH1P20,50,54,52,35,49,25
AL445493.1,0,0,0,0,0,0
AL390962.1,0,0,0,0,0,0
LINC00606,0,0,0,0,0,0
AL450304.1,0,0,0,0,0,0
AL592429.2,1,0,0,18,16,5
SNORD57,0,0,0,0,0,0
AC003071.2,0,0,0,0,0,0
AC060234.1,0,0,0,0,0,0
MICC,0,0,0,0,0,0
AL132657.1,17,3,16,11,19,7
MTCYBP31,0,0,0,0,0,0
RPL39P40,1,4,0,1,5,0
LINC02848,0,0,1,0,0,0
UBE2V1P5,0,1,0,0,0,0
AC006455.1,0,0,0,0,0,0
UBE2V1P10,0,0,0,0,0,0
AC004911.1,0,0,0,0,0,0
AL356421.2,0,0,0,0,0,0
AC245291.1,0,0,0,0,0,0
IFNWP9,0,0,0,0,0,0
AL450344.2,2,6,21,6,3,0
CT47A9,0,0,0,0,0,0
AL359979.1,0,1,0,0,0,0
PAPPA-AS2,0,3,2,2,4,0
AC092567.1,0,2,0,0,0,0
FTLP3,367,399,234,178,282,323
AL390067.1,13,15,12,32,9,1
OFD1P2Y,0,0,1,0,0,0
OR52M2P,0,0,0,0,0,0
RPL21P110,0,0,0,0,0,0
AL137001.1,0,0,0,0,0,0
LINC00343,0,0,0,3,0,0
AC083855.1,0,0,0,0,0,0
AC092155.1,0,0,0,0,3,0
AC005099.1,0,0,0,1,1,0
RBM17P1,3,0,2,0,4,1
NOP56P2,0,0,0,0,0,0
SHANK2-AS1,0,0,0,7,0,0
LINC00974,0,0,3,0,0,3
SLC9A3P3,0,0,0,0,0,0
UBE2V1P1,1,1,0,5,4,0
PPIAP28,0,0,0,1,0,1
AC006020.1,0,0,2,2,1,0
AL357793.1,0,0,0,0,0,0
AL391647.1,1,2,0,2,3,6
ACTG1P12,0,0,0,0,0,0
AL513314.1,0,0,0,0,1,0
AL121899.1,6,2,0,7,4,2
AP006216.1,0,0,0,0,0,0
RPL7P37,0,0,0,0,0,0
AL365356.1,0,2,1,6,2,6
PLCG1-AS1,24,34,27,51,63,9
AC019118.1,0,0,0,0,0,0
KIF4B,1,3,1,0,0,0
PSMD10P2,10,10,26,5,4,32
OR13Z1P,0,0,0,0,0,0
AC096732.1,0,0,0,0,0,0
RPL23AP30,0,2,2,2,3,0
AC021028.1,3,8,2,3,3,3
TRBV2,0,0,0,0,0,0
AC004973.1,0,0,2,0,0,0
CHMP1AP1,0,0,0,0,0,0
MTND4P10,0,0,0,0,0,0
AL020998.1,0,0,0,0,0,0
SSR1P2,0,0,0,0,0,0
HSPA9P1,9,4,5,1,4,3
AL136981.1,0,0,0,0,0,0
AL354977.1,0,0,0,2,2,0
BCAS2P3,0,0,0,0,0,0
AC005008.1,0,0,0,0,0,0
LINC01108,4,3,0,6,0,0
TEX41,2,2,2,0,4,0
LINC02679,1,4,3,13,31,2
IGBP1P1,0,1,1,3,17,0
AL606748.1,4,0,0,0,0,0
AC073311.1,0,0,0,0,0,0
AC020595.1,0,0,0,0,0,0
PWWP2AP1,0,0,0,1,0,0
CT47A12,0,0,0,0,0,0
LINC01535,8,11,34,16,24,36
ENTPD1-AS1,442,405,315,349,310,425
AC013470.2,19,2,0,8,18,0
NXNP1,0,0,0,0,0,0
AL441943.1,0,0,0,0,0,0
ANKRD20A10P,0,0,0,0,0,0
LENG8-AS1,14,21,46,73,87,15
AL034380.1,0,0,0,0,0,0
AL360181.1,0,0,0,0,0,0
MTND4P25,0,0,0,0,0,0
RPL15P14,1,1,4,4,2,2
MIR217HG,0,0,0,0,0,0
NPM1P4,0,0,0,0,0,0
SDCBPP1,0,0,0,0,0,0
AL161452.1,1,0,9,7,8,0
AL359458.1,0,0,0,0,0,0
AC073409.1,0,0,0,0,0,0
FGF12-AS3,0,0,0,0,0,0
FAM66C,7,3,13,29,39,15
LINC01709,4,0,18,0,6,17
AL589986.1,0,0,0,0,0,0
PTPRD-AS2,0,0,0,0,0,0
SNRPGP8,0,0,0,0,0,0
EEF1DP2,8,6,2,16,0,10
LINC00424,0,0,0,0,0,0
AL513175.1,8,3,3,3,5,0
AC109780.2,0,0,0,0,0,0
PABPC1L2B-AS1,0,0,0,0,0,0
TMEM256P2,4,8,22,18,10,6
RPL35AP30,0,0,0,0,0,0
AL138826.1,2,0,0,0,0,0
SNRPGP12,0,0,0,0,0,0
AL358972.1,0,0,0,0,0,0
LINC02554,0,0,0,0,0,0
HSBP1L1,2346,2434,2453,2227,2648,1678
AC005326.1,0,0,0,0,1,0
AL512599.1,1,0,0,0,0,0
SMCR5,4,4,3,22,6,0
FSIP2-AS2,0,0,1,2,0,1
AL360271.2,0,0,0,0,0,0
CUTALP,157,120,246,288,294,137
AL451105.1,0,0,0,0,0,0
AL606760.1,20,63,19,34,59,8
VPS25P1,0,0,0,0,2,0
AC007365.1,11,10,16,5,7,0
AC079341.1,0,0,0,0,1,0
DISC1-IT1,0,0,0,0,0,0
DAB1-AS1,0,0,0,0,0,0
TAS2R46,0,1,0,1,0,0
LINC02668,0,0,0,0,0,0
SRRM5,16,7,60,43,57,1
AC010145.1,0,0,0,0,0,0
RPSAP33,0,0,0,3,5,0
FABP7P1,0,0,0,0,0,0
AC114501.1,0,0,0,0,2,0
GAPDHP54,0,0,0,0,3,0
AC000124.1,0,0,0,2,0,0
AP001136.1,1,0,1,1,0,0
AL021393.1,1,1,3,5,7,0
AL663109.1,0,0,0,0,0,0
AC073910.1,0,0,0,0,0,0
KRTAP3-4P,0,0,0,0,0,0
FAM30A,0,0,0,0,0,0
NAALADL2-AS2,0,4,4,3,3,0
AC244035.1,0,0,0,0,0,0
TBCAP1,0,5,3,2,1,4
AC117465.1,0,0,0,0,0,0
TLK1P1,0,0,1,0,0,0
PGAM4,7,3,7,0,0,3
AC110926.1,0,0,0,1,2,0
HNRNPA3P1,2,0,0,0,1,0
LINC02611,0,2,0,0,0,0
C13orf42,0,0,0,0,0,1
MTND1P20,0,0,0,0,0,0
AC005828.1,2,3,7,14,15,0
AL138749.1,4,0,1,0,0,0
CACTIN-AS1,0,5,5,3,15,0
OSTCP8,0,0,0,0,2,0
AL442647.1,0,0,0,0,0,0
ZNF451-AS1,3,6,11,18,37,5
AL359839.2,0,0,0,0,0,0
LCT-AS1,0,0,0,0,0,0
MROH5,0,0,0,0,0,0
LINC00840,1,0,0,0,0,0
AC112198.1,0,0,0,0,0,0
AL117382.2,0,0,0,3,0,0
LINC01941,0,0,0,0,0,0
AL035407.1,0,0,0,0,0,0
AC005082.1,4,0,19,8,7,0
SLC6A6P1,0,0,0,0,0,0
MEIS1-AS3,0,0,1,0,3,0
AL592049.1,0,0,0,0,0,0
LINC02785,0,0,0,0,0,0
SUGT1P1,7,2,2,4,8,2
AC006001.2,13,12,22,47,34,13
LINC01509,0,0,0,0,0,0
NPM1P11,0,0,0,0,0,0
LINC02774,0,0,0,0,5,0
AC093655.1,0,0,0,0,0,0
MED15P3,0,0,0,0,0,0
AC092164.1,11,9,83,75,89,21
ARHGAP29-AS1,4,1,2,4,0,5
AC018437.1,0,0,0,0,0,0
HMGB1P32,0,0,0,0,0,0
AC096582.1,0,0,0,0,0,0
MTND6P11,0,0,0,0,0,0
PAICSP3,0,1,0,0,4,0
AL158834.1,0,0,1,2,0,0
AL606753.1,0,0,0,0,0,0
EEF1GP3,0,0,0,0,1,0
LINC00348,0,0,0,0,0,0
PRPS1P1,0,0,0,0,0,0
AL109811.1,14,5,25,9,38,5
AC004112.1,0,0,1,0,0,0
AC010894.2,6,4,2,21,16,3
AL451105.2,0,0,0,0,0,0
RPSAP17,0,2,1,1,0,2
THORLNC,7,4,1,2,1,1
DUTP3,0,0,0,0,0,0
LINC02051,1,0,0,1,0,3
AC109638.1,0,0,0,0,0,0
AL390835.1,0,0,0,0,0,0
AC104463.2,0,1,0,2,2,0
SHROOM2P1,0,0,0,0,0,0
ATE1-AS1,5,5,7,23,19,2
AC244505.4,0,0,0,0,0,0
AC096637.2,0,0,0,0,0,0
LHFPL3-AS1,0,0,0,0,0,0
BX276092.2,8,9,3,1,1,0
AC135178.2,0,0,0,0,0,0
AC002472.1,0,0,0,1,0,0
CDY14P,0,0,0,0,0,0
AC005154.1,0,0,0,1,0,0
ZNF877P,0,0,0,0,0,0
AC092801.1,1,0,1,3,2,0
AL354733.1,0,2,0,0,1,2
GSTM3P2,1,0,0,0,0,0
H3P44,0,0,1,0,0,0
AL035416.1,3,0,4,0,0,0
RPS29P10,0,0,0,0,0,0
E2F6P3,0,0,0,0,0,0
AC093787.1,0,0,0,0,0,0
ERVMER34-1,188,127,128,63,110,340
RPLP1P10,0,0,0,0,0,0
AL359541.2,0,0,0,0,3,0
Z97652.1,0,0,2,3,0,0
LINC01359,0,0,13,7,14,1
AL731577.1,0,0,5,10,1,0
AL451069.1,3,0,1,6,19,1
CHCHD2P1,0,0,0,0,0,0
LINC00354,0,0,0,0,0,0
AL353608.2,3,0,8,0,4,5
AC005040.1,0,0,0,0,0,0
TTTY4,0,0,1,0,0,0
H2BP6,0,0,0,0,0,0
ISCA2P1,0,0,1,0,0,0
BSN-DT,0,0,1,7,0,0
AC068137.1,0,0,0,0,0,0
LINC01276,0,0,1,0,0,0
AC010086.1,0,0,0,0,0,0
AL365184.1,0,0,0,0,0,0
AL160004.1,0,0,0,0,0,0
LINC00454,0,0,1,2,0,0
IL1R1-AS1,0,0,0,0,3,0
PDZPH1P,0,0,0,0,0,0
AL451081.1,0,0,0,0,0,0
RPS14P4,1,7,0,7,2,0
CT47A11,0,0,0,0,0,0
GTF2IP2,0,0,0,0,0,0
NRBF2P2,0,0,0,0,0,0
LINC00161,0,4,10,6,4,10
CEP164P1,0,5,12,12,6,2
AC119428.1,0,0,0,0,0,0
AC062021.1,0,0,0,0,0,0
RBMY1J,0,0,28,0,0,158
IL9RP3,9,12,6,5,8,3
ALG1L5P,2,11,2,5,1,3
AL031847.1,1,4,9,4,4,3
AC098935.1,1,0,0,0,0,0
AC062022.1,0,0,0,0,0,0
LCEP4,0,0,0,0,0,0
RPS4XP2,3,0,1,0,0,0
OR6K5P,0,0,0,0,0,0
DANCR,646,772,611,444,373,746
AC093019.1,0,0,0,0,0,0
NCKAP5-AS2,0,0,8,0,3,11
AL023802.1,1,0,0,4,0,1
AC104306.2,0,0,0,0,0,0
AP000432.1,0,0,2,0,0,0
AL358075.1,0,1,4,1,2,0
MTCO1P21,3,0,0,0,0,0
PPIAP60,0,0,0,0,0,0
RAC1P6,0,0,0,0,0,0
AC078883.2,7,8,27,30,7,15
RHEBP2,43,0,22,4,43,37
AC073114.1,1,5,2,1,0,3
HAUS4P1,0,0,0,0,0,0
LINC00423,0,0,0,0,0,0
AL391845.1,0,2,0,1,0,0
AL450063.1,4,1,2,0,4,0
AL606490.2,1,3,2,3,3,1
RPL12P19,0,0,0,0,2,0
AL512638.1,0,0,0,0,0,0
COX6A1P2,28,36,22,21,18,25
HMGN1P24,1,0,0,2,0,0
MAGI2-AS2,0,0,0,0,0,0
LTA,4,4,0,0,0,0
ABHD17AP6,1,1,3,0,2,1
CENPCP1,0,1,2,2,3,0
LINC01692,0,0,0,0,0,0
AL035410.1,0,0,0,3,0,0
LINC01203,0,0,0,2,0,2
AC092017.1,1,1,1,0,0,3
AL157938.1,2,0,0,0,0,0
AL049758.1,2,1,10,2,7,6
AC025946.1,0,0,0,0,0,0
AC140479.1,2,0,0,0,1,0
AC145625.1,0,0,0,0,0,0
AC012593.1,0,0,0,0,0,0
LINC00658,0,0,0,0,0,0
AP000477.1,0,0,0,0,0,0
MTATP6P30,0,0,0,0,0,0
AC073325.2,0,0,0,0,0,0
HSPD1P14,0,0,0,0,0,0
NBPF2P,37,23,28,47,39,18
SNRPEP10,1,1,0,8,7,0
AC108032.1,0,0,0,0,0,0
AL136988.2,2,1,0,0,0,3
LINC01247,2,0,1,0,0,1
AL009174.1,2,6,3,1,2,6
FUNDC2P4,0,0,0,0,0,0
C17orf112,0,0,0,0,0,0
LINC02527,0,0,0,0,0,0
OR7E96P,0,0,0,0,0,0
AC007285.1,23,62,98,29,53,38
AC023141.4,0,0,0,0,0,0
LINC02796,0,0,0,0,0,0
AC007036.1,0,0,2,0,1,0
IL6STP1,0,1,0,0,0,0
OR7E101P,0,0,0,0,0,0
AC007557.1,0,0,0,0,0,0
OR51A3P,0,0,0,0,0,0
SLC8A1-AS1,4,4,0,4,2,3
AL139237.1,0,0,0,0,0,0
RPS2P36,0,0,1,0,0,0
AC019130.1,0,0,0,0,0,0
AL445433.1,0,3,1,0,0,0
MTATP6P18,0,0,0,0,0,0
LINC00511,1094,1213,3717,1239,1568,1171
GTF2IP7,24,23,83,42,42,37
ITGB2-AS1,19,20,289,68,97,21
AC022483.1,3,2,1,0,0,2
AC003666.1,0,0,0,0,0,0
LINC01682,0,0,0,0,0,0
AL589765.1,0,0,0,0,0,0
AC012065.1,0,0,0,0,0,0
AC096677.3,0,0,0,0,0,0
AL512288.1,1,0,0,0,0,0
C14orf132,211,186,343,714,841,1025
MUC12-AS1,9,9,4,4,8,0
FDX1P2,0,0,0,0,0,0
AC009961.2,0,0,0,0,0,0
RPL6P2,0,0,0,0,1,0
WDR46,3044,3148,2797,1599,1753,2501
BX510359.2,0,0,0,0,0,0
ANHX,0,0,0,0,0,0
LINC00629,0,0,3,32,18,10
AC079779.1,0,0,0,0,0,0
AL596276.1,0,0,0,0,0,0
RPL41P1,158,213,127,161,155,175
Z82205.1,2,4,11,1,1,1
Z98257.1,173,209,28,50,37,18
DPPA3P1,0,0,0,0,0,0
AL162584.1,0,0,0,3,7,0
CNN2P2,0,0,0,0,0,0
EPS15-AS1,0,0,0,5,4,0
FOCAD-AS1,1,2,3,0,0,1
AL353706.1,0,0,0,0,0,0
SDHDP2,0,2,0,1,1,0
AP000472.1,0,0,0,0,0,0
AL158166.1,19,18,1,5,2,7
AC107983.1,1,0,0,0,0,0
LINC02094,0,0,0,0,0,0
AC012441.1,4,2,16,15,17,4
AC005912.1,9,14,12,23,12,0
LINC02798,0,2,6,0,0,0
L29074.1,0,0,0,2,6,0
RBMX2P5,1,1,2,0,2,0
AC012494.1,0,0,0,0,0,0
AL031767.1,2,0,0,0,0,0
AP000402.1,0,0,0,0,0,0
AL355990.1,0,3,0,0,0,0
AL512785.1,0,2,0,0,0,0
HMGB3P8,2,1,1,0,1,4
RPS28P7,309,304,287,246,340,363
AC073636.1,0,0,0,0,0,0
AC025822.1,0,0,0,0,0,0
OR2AS1P,0,0,0,0,0,0
PIGQP1,0,0,0,0,0,0
PARP1P1,1,1,0,0,0,1
AC104667.1,0,0,0,1,2,0
IGHD1-14,0,0,0,0,0,0
CRIP1P3,0,0,0,0,0,0
LMCD1-AS1,21,16,12,61,23,7
AC073210.1,1,0,0,0,4,2
LINC01630,0,0,0,0,0,0
HORMAD2-AS1,71,73,39,64,33,17
BTF3P13,1,0,1,0,0,2
AC009238.1,172,118,14,51,56,10
LINC02672,0,0,1,0,0,0
RPL12P44,0,3,8,7,3,1
ZNF717,119,137,258,351,421,199
AP002856.1,0,0,0,0,0,0
LBX1-AS1,0,0,1,0,0,0
AL139275.2,0,0,0,0,0,0
AC011742.1,0,0,0,0,0,0
AC093084.1,0,0,0,0,0,0
AL161788.1,0,0,0,0,0,0
AC241644.1,0,0,0,0,0,0
USP17L5,0,0,0,0,0,0
AL160286.1,0,0,0,0,0,0
LINC01153,1,0,0,0,6,0
IL21-AS1,0,0,17,0,0,23
AC069285.2,0,0,0,0,0,0
MTCO1P44,0,0,0,0,0,0
AL669970.2,0,0,0,0,0,0
PRR20D,0,0,0,0,0,0
OR2T7,0,0,0,0,0,0
AL022721.1,0,0,0,0,0,0
AL161725.1,2,5,2,2,11,2
AC068535.1,0,0,0,0,0,0
AC073621.2,2,0,0,0,0,2
DDX11L16,2,0,0,1,0,1
PAR,2,0,0,1,0,1
THEM7P,0,1,0,0,0,1
AC092755.1,0,0,0,0,0,0
AL139220.1,0,0,0,0,0,0
WDR11-AS1,11,5,9,10,6,3
STSP1,0,0,0,0,0,0
AL442638.1,0,0,0,0,0,0
Z98747.1,0,0,0,0,0,0
AF178030.1,0,0,2,0,0,0
AC011290.1,1,0,0,0,0,0
MYL6P3,0,0,0,0,0,0
AL590677.2,0,0,0,1,0,0
AC092641.1,0,3,2,1,1,0
AIMP1P2,0,0,1,0,0,0
PGBP,0,0,0,0,0,0
AC013467.2,0,0,0,0,0,0
LINC01688,0,0,0,0,0,0
VN1R28P,0,0,0,0,0,0
HDGFP1,4,8,2,3,2,6
AC018511.1,1,0,1,0,0,0
AC007435.1,0,0,0,0,0,0
MGAT3-AS1,1,3,7,4,4,0
AC092535.2,0,7,0,1,1,1
TRGC2,102,145,79,229,321,20
AL023581.2,1,2,1,2,6,11
AC244453.1,2,0,3,1,2,1
MIR663AHG,14,15,19,50,73,19
IGHD4-23,0,0,0,0,0,0
AC009365.4,0,0,0,0,0,0
C6orf47-AS1,0,0,0,0,0,0
ST7-AS1,53,42,166,126,102,74
AL162724.1,7,8,1,6,7,0
CNN2P1,25,30,8,10,29,3
SUB1P1,0,4,3,3,0,1
RBMY2JP,0,0,0,0,0,0
PFN1P9,0,0,0,0,0,0
AL645937.2,0,0,0,0,0,0
RPL31P12,0,0,0,0,0,0
WARS2P1,0,0,0,0,0,0
AC079145.1,7,11,7,7,17,9
H3P45,0,0,0,0,0,0
PFN1P6,6,7,1,23,15,0
SPATA13-AS1,0,0,1,0,0,0
HCG15,3,0,3,0,2,0
AL355613.1,0,0,0,0,0,0
AL356276.1,0,0,0,0,0,0
AL157935.2,19,29,84,20,21,24
AL133346.1,6,7,2,6,4,12
AC092035.1,0,0,0,0,0,0
MTND1P14,0,0,0,0,0,0
AC017101.1,1,1,0,0,0,1
AL606534.1,0,2,11,4,4,5
WASH7P,111,75,215,0,80,68
CICP17,0,0,0,0,0,0
SPANXB1,0,0,0,0,0,1
AL583844.1,0,2,0,0,0,0
AL672291.1,0,0,0,0,0,0
TTC39DP,0,0,0,0,0,0
AL136456.1,0,0,1,0,0,0
AC011998.1,0,0,0,0,0,0
NBPF13P,0,0,0,0,0,0
SLAMF6P1,4,3,1,0,0,2
LINC00845,0,0,0,0,0,0
AC092042.1,0,0,0,0,0,0
TRIM60P13,0,0,0,0,0,0
FAM155A-IT1,0,0,0,6,3,6
AC000374.1,0,0,0,0,0,0
TRIM60P9Y,0,0,0,0,0,0
AC012063.1,142,119,92,175,213,65
AL158834.2,0,1,0,2,0,0
VDAC1P12,0,0,0,0,0,0
CDRT15P2,0,0,0,0,0,0
MIS18A-AS1,1,9,9,8,17,3
AL158827.1,0,0,0,0,0,0
SMIM2-AS1,26,39,11,69,57,23
HMGN2P22,0,0,0,0,0,0
LINC01985,2,2,0,0,1,5
YWHAZP7,0,0,0,0,0,0
HCG4B,91,114,389,462,607,26
ACTR3BP5,0,0,0,0,0,0
AL845331.1,0,0,0,0,0,0
AC072039.1,1,6,5,2,3,4
KLLN,48,30,19,9,15,25
AL162427.1,0,0,0,0,0,0
AC009963.1,0,0,0,0,0,0
RPL39P25,0,0,0,0,0,0
MYOCD-AS1,0,0,0,0,0,0
MTND6P10,0,0,0,0,0,0
AL603839.1,0,0,2,0,0,0
AC110015.1,0,0,0,0,0,0
AL389889.1,0,0,0,0,0,0
RPL35AP12,0,0,0,0,0,0
MARK2P10,0,0,0,0,0,0
AL138799.1,0,0,0,0,0,2
HSFY3P,3,0,0,0,1,0
LINC01364,0,0,0,0,0,0
AC092170.1,0,0,0,0,0,0
AC009229.1,0,0,2,0,0,0
AC118345.1,0,0,0,0,0,0
AC016994.1,0,0,0,0,0,0
ELL2P1,2,3,1,4,0,4
AL035541.1,0,0,0,0,0,0
ARAFP3,0,0,0,0,0,0
KRT16P2,4321,4110,4513,898,970,1212
AL356489.1,0,0,0,0,0,0
SSXP9,0,0,0,0,0,0
AC239727.1,0,0,0,0,0,0
AC067942.1,0,1,1,4,1,1
AC073188.2,0,0,0,0,0,0
LINC02708,0,0,0,0,0,0
AC010998.1,1,0,0,5,2,0
LINC02832,2,1,4,11,14,8
AC140076.1,0,1,4,3,2,1
AL031985.2,0,0,2,1,0,0
AL445686.1,0,2,1,1,0,0
LINC02630,0,0,0,0,0,0
MTND4P15,0,0,0,3,0,1
AL139396.1,0,0,0,0,4,0
AF130417.1,0,0,0,0,0,0
AC005042.1,0,5,11,0,0,0
IGHJ1P,0,0,0,0,0,0
LINC00434,0,0,0,0,0,0
RPL23AP43,0,2,1,0,3,1
AL139280.1,0,0,0,0,0,0
THRAP3P1,0,0,0,0,0,0
LINC00307,0,0,0,0,0,0
RPL15P1,0,0,0,0,0,0
HAUS6P1,10,25,0,13,7,23
PARG,1885,1726,1419,1138,1237,1870
HNRNPKP2,13,11,15,7,15,10
MTND5P25,0,0,0,0,2,0
CEACAMP7,0,0,0,0,0,0
PPIAP88,0,0,0,0,0,0
NANOGP6,0,0,0,0,2,0
ARHGEF7-AS1,0,0,0,0,0,0
RAB28P3,0,0,0,0,0,0
RBM26-AS1,59,77,56,209,235,143
AL359644.1,0,1,0,3,4,0
LINC00866,1,0,0,2,1,0
AL354861.1,0,0,0,0,0,0
AC017074.1,7,6,14,0,0,10
AL512658.1,0,0,0,0,0,0
RPS24P7,0,0,0,0,0,0
AC018685.1,0,0,0,0,0,0
AC008060.2,0,0,0,0,0,0
SLC9B1P4,0,0,0,0,0,0
CDK8P2,2,0,2,1,0,5
AC254562.1,2,2,10,22,9,2
AC074085.1,0,0,0,0,0,0
TP73-AS1,1297,1357,1376,1504,1814,707
RABGAP1L-DT,10,4,4,8,10,4
AL157832.1,0,0,2,0,0,0
DLG1-AS1,36,25,23,11,7,5
FTH1P16,13,22,25,23,13,11
PPIAP2,0,10,17,16,12,3
EIF4A2P2,1,1,0,0,1,0
AL353662.1,6,3,4,8,9,0
AC091705.1,0,0,0,0,0,0
AL133410.1,31,48,45,154,126,5
SALL1P1,0,0,0,0,0,0
HPN-AS1,8,14,13,62,53,2
AL031575.1,0,0,0,0,0,0
AC007386.1,0,0,0,1,0,0
EIF2AP4,0,0,0,0,0,0
AC079355.2,0,0,0,0,0,0
KIF9-AS1,59,55,97,158,343,72
AL391219.1,0,0,0,0,0,0
AC012501.2,0,0,0,0,0,4
RPL37P1,1,0,0,8,0,0
LINC01806,134,171,64,49,24,58
KRT8P20,0,0,0,0,0,0
RNF6P1,0,0,0,0,0,0
AC245884.1,0,0,0,0,0,0
AMYP1,0,0,0,2,0,0
ZMYM4-AS1,0,0,0,4,5,0
ACNATP,0,0,0,0,0,0
STK33P1,0,0,0,0,0,0
AL022238.1,0,0,0,0,0,0
AL929472.1,0,0,0,0,0,0
AC114402.2,0,0,0,2,0,0
PCGEM1,0,0,0,0,0,0
LINC01724,0,0,0,0,0,0
OR10U1P,0,0,0,0,0,0
MRPS21P2,0,0,0,0,0,0
VN1R33P,0,0,0,0,0,0
Z93019.1,0,4,0,0,0,0
H3P9,0,0,0,0,0,0
CSE1L-AS1,0,0,1,4,2,0
ASIC4-AS1,0,0,0,0,1,0
AC090018.1,0,2,3,0,0,0
RNF19BPX,0,0,0,0,0,0
FCF1P1,0,0,0,0,0,0
